State,Year,Crop,Area,Production
Andhra Pradesh,2012,Tomato,8521,143886
Andhra Pradesh,2012,Bajra,5,13
Andhra Pradesh,2012,Onion,193,2745
Andhra Pradesh,2012,Potato,845,12739
Andhra Pradesh,2012,Rice,34557,126168
Andhra Pradesh,2012,Tomato,4908,106037
Andhra Pradesh,2013,Bajra,1789,3907
Andhra Pradesh,2013,Jowar,12,10
Andhra Pradesh,2013,Onion,170,3201
Andhra Pradesh,2013,Rice,15206,48766
Andhra Pradesh,2013,Tomato,8397,232496
Andhra Pradesh,2013,Bajra,2,4
Andhra Pradesh,2013,Onion,253,5928
Andhra Pradesh,2013,Rice,34654,120249
Andhra Pradesh,2013,Tomato,5199,116546
Andhra Pradesh,2013,Potato,1297,22926
Andhra Pradesh,2014,Bajra,2071,4622
Andhra Pradesh,2014,Jowar,23,16
Andhra Pradesh,2014,Onion,242,4443
Andhra Pradesh,2014,Potato,302,5186
Andhra Pradesh,2014,Rice,13304,44462
Andhra Pradesh,2014,Tomato,8139,192268
Andhra Pradesh,2014,Bajra,1,2
Andhra Pradesh,2014,Onion,199,4534
Andhra Pradesh,2014,Potato,920,15799
Andhra Pradesh,2014,Rice,27661,87962
Andhra Pradesh,2014,Tomato,4998,126185
Andhra Pradesh,2014,Rice,40965,132424
Andhra Pradesh,1997,Bajra,2500,1400
Andhra Pradesh,1997,Jowar,1100,600
Andhra Pradesh,1997,Rice,214100,429300
Andhra Pradesh,1997,Jowar,200,200
Andhra Pradesh,1997,Rice,154400,491500
Andhra Pradesh,1998,Bajra,4300,2400
Andhra Pradesh,1998,Jowar,1200,300
Andhra Pradesh,1998,Rice,256300,386600
Andhra Pradesh,1998,Jowar,100,100
Andhra Pradesh,1998,Rice,157600,656600
Andhra Pradesh,1999,Bajra,3248,2339
Andhra Pradesh,1999,Jowar,701,179
Andhra Pradesh,1999,Rice,244655,628606
Andhra Pradesh,1999,Jowar,50,20
Andhra Pradesh,1999,Rice,161551,645162
Andhra Pradesh,1999,Onion,252,4118
Andhra Pradesh,2000,Bajra,3034,2005
Andhra Pradesh,2000,Jowar,1144,424
Andhra Pradesh,2000,Onion,42,586
Andhra Pradesh,2000,Rice,253966,683423
Andhra Pradesh,2000,Bajra,2,1
Andhra Pradesh,2000,Jowar,14,12
Andhra Pradesh,2000,Onion,133,2338
Andhra Pradesh,2000,Rice,162861,683202
Andhra Pradesh,2001,Bajra,2219,2048
Andhra Pradesh,2001,Jowar,822,470
Andhra Pradesh,2001,Onion,122,1693
Andhra Pradesh,2001,Rice,220811,579850
Andhra Pradesh,2001,Jowar,22,16
Andhra Pradesh,2001,Onion,147,2325
Andhra Pradesh,2001,Rice,165779,750150
Andhra Pradesh,2002,Bajra,1196,1051
Andhra Pradesh,2002,Jowar,503,167
Andhra Pradesh,2002,Onion,132,1578
Andhra Pradesh,2002,Rice,194809,551115
Andhra Pradesh,2002,Jowar,15,12
Andhra Pradesh,2002,Onion,140,1763
Andhra Pradesh,2002,Rice,106427,491906
Andhra Pradesh,2002,Tomato,681,4557
Andhra Pradesh,2003,Bajra,2698,2301
Andhra Pradesh,2003,Jowar,786,2325
Andhra Pradesh,2003,Onion,279,4070
Andhra Pradesh,2003,Rice,234673,762453
Andhra Pradesh,2003,Onion,24,264
Andhra Pradesh,2003,Rice,165321,869092
Andhra Pradesh,2003,Tomato,738,7088
Andhra Pradesh,2004,Bajra,1840,1404
Andhra Pradesh,2004,Jowar,538,288
Andhra Pradesh,2004,Onion,129,2189
Andhra Pradesh,2004,Rice,224521,743614
Andhra Pradesh,2004,Jowar,1,2
Andhra Pradesh,2004,Onion,79,1384
Andhra Pradesh,2004,Rice,162903,766296
Andhra Pradesh,2005,Bajra,1500,1037
Andhra Pradesh,2005,Jowar,558,310
Andhra Pradesh,2005,Onion,296,5550
Andhra Pradesh,2005,Rice,217411,348727
Andhra Pradesh,2005,Bajra,9,6
Andhra Pradesh,2005,Jowar,63,184
Andhra Pradesh,2005,Onion,74,1465
Andhra Pradesh,2005,Rice,170012,800927
Andhra Pradesh,2006,Bajra,1516,713
Andhra Pradesh,2006,Jowar,640,476
Andhra Pradesh,2006,Onion,457,7663
Andhra Pradesh,2006,Rice,227930,547716
